Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t,state
2000-01-03,0.11648082,0.07957576540145045,0.0,0.0,0.0,0.4303017317290743,CALMA
2000-01-04,0.17157734,0.08637612808160845,0.004552975903353353,0.07198854982221727,-0.00035906573981622824,0.4303017317290743,CALMA
2000-01-05,0.17052648,0.09312231717591447,0.010383998884769041,0.12165710318656592,-0.002398918596805002,0.4303017317290743,CALMA
2000-01-06,0.16720248,0.10285383980346975,0.020223673160314433,0.16967262722881776,-0.0069461350398393705,0.4303017317290743,CALMA
2000-01-07,0.19071448,0.10547554787849166,0.024876386586958756,0.14948553680287996,-0.010144391967495062,0.4303017317290743,CALMA
2000-01-10,0.1937039,0.1055152769495074,0.02509495381989966,0.1467298345014161,-0.004545094691293137,0.4303017317290743,CALMA
2000-01-11,0.19943822,0.10458815136772785,0.024266931507977846,0.14034514675385565,-0.0012585881050902869,0.4303017317290743,CALMA
2000-01-12,0.20012182,0.10839880422953953,0.02799977652523849,0.16113509550662342,-0.0019793791258393423,0.4303017317290743,CALMA
2000-01-13,0.20104454,0.11033347063895158,0.03046503049637215,0.1622575006569434,-0.0025248405203863716,0.4303017317290743,CALMA
2000-01-14,0.20259015,0.10924036718141528,0.02953536231532328,0.15395892567890648,-0.00021090809092152302,0.4303017317290743,CALMA
2000-01-18,0.2045534,0.11122240418589859,0.031249790022381017,0.16853062523970574,0.0010633031061620356,0.4303017317290743,CALMA
2000-01-19,0.20456166,0.11305270795100454,0.0332811267902101,0.17457167728837122,0.0005073503648114902,0.4303017317290743,CALMA
2000-01-20,0.20630531,0.10933329276527026,0.029470023265099177,0.15705313481947486,0.0029015990912805087,0.4303017317290743,CALMA
2000-01-21,0.20350233,0.10396770534663637,0.023874862530332896,0.13339106895696926,0.0043797329576885195,0.20214305048566217,CALMA
2000-01-24,0.22566421,0.10037630663890072,0.021260328058239797,0.09884757727903316,0.001793845925057786,0.22759372968108946,CALMA
2000-01-25,0.2193019,0.09939394137295239,0.01887449672331371,0.11704148544332385,0.005881589207170097,0.18735980364521967,CALMA
2000-01-26,0.21946679,0.10542869691578013,0.0239417062733563,0.16393566142070762,0.009016766733633347,0.1864898149645475,CALMA
2000-01-27,0.21944519,0.11199460322065864,0.030181284867401632,0.20293870515158752,0.013639828581903901,0.19843496894293658,VERDE
2000-01-28,0.23566226,0.11376733597038399,0.03300203586928737,0.1946710119823863,-0.0022085280371466707,0.20128535336736159,CALMA
2000-01-31,0.25518842,0.11026248650208827,0.030731653282346505,0.15630821267114597,-0.003268527940381488,0.1805716091373743,CALMA
2000-02-01,0.25844404,0.10595802164455756,0.025845374299432816,0.14390499724993583,0.003465580677645951,0.16872309363984692,CALMA
2000-02-02,0.25700912,0.10271925175882574,0.02256937311689901,0.1279453118900319,0.006305768049606211,0.1855147907379783,CALMA
2000-02-03,0.220892,0.10441024082290888,0.024168399837873437,0.13812122585745423,0.004048076154912232,0.24538241692797155,CALMA
2000-02-04,0.22089951,0.11206240545154299,0.032104655437397975,0.17258372984293827,-0.008563817362467283,0.22993155629173304,CALMA
2000-02-07,0.22091701,0.11634533063459493,0.037493251424162787,0.17620904618933225,-0.010101734533957666,0.22586807617195068,CALMA
2000-02-08,0.20446611,0.1199025387975781,0.04052494022484203,0.20310966329925262,-0.00641797056355391,0.2629867930808588,VERDE
